A_LLEGADA,A_SERVICIO,TIE_LLEGADA,TIE_SERVICIO,TIE_EXACTO_LLEGADA,TIE_INI_SERVICIO,TIE_FIN_SERVICIO,TIE_ESPERA,TIE_EN_SISTEMA
0.861,0.474,0.4489823236632188,2.9861918291482423,0.4489823236632188,0.4489823236632188,3.435174152811461,0.0,2.9861918291482423
0.418,0.874,2.6168215393721423,0.5386996133064064,3.0658038630353612,3.435174152811461,3.9738737661178676,0.3693702897761,0.9080699030825063
0.675,0.274,1.1791277643288216,5.178508690376267,4.244931627364183,4.244931627364183,9.42344031774045,0.0,5.178508690376267
0.632,0.674,1.376597654505839,1.5781006722793198,5.621529281870022,9.42344031774045,11.00154099001977,3.801911035870428,5.380011708149748
0.289,0.074,3.723985772609115,10.41476074311187,9.345515054479137,11.00154099001977,21.41630173313164,1.656025935540633,12.070786678652503
0.646,0.474,1.3108673255986054,2.9861918291482423,10.656382380077742,21.41630173313164,24.402493562279883,10.759919353053897,13.746111182202139
0.703,0.874,1.0571951615144166,0.5386996133064064,11.713577541592159,24.402493562279883,24.94119317558629,12.688916020687724,13.22761563399413
0.46,0.274,2.329586368496989,5.178508690376267,14.043163910089147,24.94119317558629,30.119701865962554,10.898029265497142,16.07653795587341
0.917,0.674,0.25994342017701644,1.5781006722793198,14.303107330266164,30.119701865962554,31.697802538241874,15.81659453569639,17.394695207975712
0.074,0.074,7.8110705573339025,10.41476074311187,22.114177887600064,31.697802538241874,42.112563281353744,9.58362465064181,19.99838539375368
-,-,-,-,-,-,SUMA,65.57439108676412,106.96691418320835
-,-,-,-,-,-,PROMEDIO,6.557439108676412,10.696691418320835
